model_type,max_length,hidden_size,kernel_size,num_layers,epoch,batch_size,pooling_style,optimizer,learning_rate,seed,最后准确率
lstm,64,768,3,12,15,128,max,adam,0.001,987,0
bert,64,768,3,12,15,128,avg,adam,0.001,987,0.05
bert,64,768,3,12,15,128,max,adam,0.001,987,0.05277777777777778
bert,64,768,3,12,15,128,avg,adam,0.0001,987,0.8611111111111112
bert,64,768,3,12,15,128,max,adam,0.0001,987,0.85
bert_lstm,64,768,3,12,15,128,avg,adam,0.001,987,0.03611111111111111
bert_lstm,64,768,3,12,15,128,max,adam,0.001,987,0.05
bert_lstm,64,768,3,12,15,128,avg,adam,0.0001,987,0.45
bert_lstm,64,768,3,12,15,128,max,adam,0.0001,987,0.42777777777777776
bert_cnn,64,768,3,12,15,128,avg,adam,0.001,987,0.05277777777777778
bert_cnn,64,768,3,12,15,128,max,adam,0.001,987,0.044444444444444446
bert_cnn,64,768,3,12,15,128,avg,adam,0.0001,987,0.35833333333333334
bert_cnn,64,768,3,12,15,128,max,adam,0.0001,987,0.3527777777777778
bert_mid_layer,64,768,3,12,15,128,avg,adam,0.001,987,0.03611111111111111
bert_mid_layer,64,768,3,12,15,128,max,adam,0.001,987,0.06111111111111111
bert_mid_layer,64,768,3,12,15,128,avg,adam,0.0001,987,0.375
bert_mid_layer,64,768,3,12,15,128,max,adam,0.0001,987,0.20833333333333334
lstm,64,768,3,12,15,128,max,adam,0.001,987,0
fast_text,64,128,3,12,15,64,avg,adam,0.001,987,0.37222222222222223
fast_text,64,128,3,12,15,64,max,adam,0.001,987,0.18333333333333332
fast_text,64,128,3,12,15,128,avg,adam,0.001,987,0.2972222222222222
fast_text,64,128,3,12,15,128,max,adam,0.001,987,0.09722222222222222
fast_text,64,128,3,12,15,64,avg,adam,0.0001,987,0.09166666666666666
fast_text,64,128,3,12,15,64,max,adam,0.0001,987,0.04722222222222222
fast_text,64,128,3,12,15,128,avg,adam,0.0001,987,0.08055555555555556
fast_text,64,128,3,12,15,128,max,adam,0.0001,987,0.05555555555555555
lstm,64,128,3,12,15,64,avg,adam,0.001,987,0.03611111111111111
lstm,64,128,3,12,15,64,max,adam,0.001,987,0.03611111111111111
lstm,64,128,3,12,15,128,avg,adam,0.001,987,0.03611111111111111
lstm,64,128,3,12,15,128,max,adam,0.001,987,0.03611111111111111
lstm,64,128,3,12,15,64,avg,adam,0.0001,987,0.044444444444444446
lstm,64,128,3,12,15,64,max,adam,0.0001,987,0.05555555555555555
lstm,64,128,3,12,15,128,avg,adam,0.0001,987,0.05277777777777778
lstm,64,128,3,12,15,128,max,adam,0.0001,987,0.05
gru,64,128,3,12,15,64,avg,adam,0.001,987,0.16944444444444445
gru,64,128,3,12,15,64,max,adam,0.001,987,0.23055555555555557
gru,64,128,3,12,15,128,avg,adam,0.001,987,0.13055555555555556
gru,64,128,3,12,15,128,max,adam,0.001,987,0.18333333333333332
gru,64,128,3,12,15,64,avg,adam,0.0001,987,0.08055555555555556
gru,64,128,3,12,15,64,max,adam,0.0001,987,0.10555555555555556
gru,64,128,3,12,15,128,avg,adam,0.0001,987,0.03611111111111111
gru,64,128,3,12,15,128,max,adam,0.0001,987,0.06111111111111111
