model_path,model_type,max_length,hidden_size,kernel_size,num_layers,epoch,batch_size,pooling_style,optimizer,learning_rate,seed,最后一轮准确率：
output,bert,32,768,3,12,20,64,avg,adam,0.00001,987,0.847222222222222
output,bert,32,768,3,12,20,64,max,adam,0.00001,987,0.858333333333333
output,bert,32,768,3,12,20,32,avg,adam,0.00001,987,0.872222222222222
output,bert,32,768,3,12,20,32,max,adam,0.00001,987,0.866666666666667
output,bert,32,768,3,12,20,64,avg,adam,0.0001,987,0.861111111111111
output,bert,32,768,3,12,20,64,max,adam,0.0001,987,0.838888888888889
output,bert,32,768,3,12,20,32,avg,adam,0.0001,987,0.827777777777778
output,bert,32,768,3,12,20,32,max,adam,0.0001,987,0.852777777777778
output,bert,32,768,3,12,20,64,avg,adam,0.001,987,0.0361111111111111
output,bert,32,768,3,12,20,64,max,adam,0.001,987,0.0722222222222222
output,bert,32,768,3,12,20,32,avg,adam,0.001,987,0.05
output,bert,32,768,3,12,20,32,max,adam,0.001,987,0.0611111111111111
output,bert_lstm,32,768,3,12,20,64,avg,adam,0.00001,987,0.5
output,bert_lstm,32,768,3,12,20,64,max,adam,0.00001,987,0.502777777777778
output,bert_lstm,32,768,3,12,20,32,avg,adam,0.00001,987,0.608333333333333
output,bert_lstm,32,768,3,12,20,32,max,adam,0.00001,987,0.591666666666667
output,bert_lstm,32,768,3,12,20,64,avg,adam,0.0001,987,0.658333333333333
output,bert_lstm,32,768,3,12,20,64,max,adam,0.0001,987,0.641666666666667
output,bert_lstm,32,768,3,12,20,32,avg,adam,0.0001,987,0.65
output,bert_lstm,32,768,3,12,20,32,max,adam,0.0001,987,0.65
output,bert_lstm,32,768,3,12,20,64,avg,adam,0.001,987,0.0361111111111111
output,bert_lstm,32,768,3,12,20,64,max,adam,0.001,987,0.0361111111111111
output,bert_lstm,32,768,3,12,20,32,avg,adam,0.001,987,0.0361111111111111
output,bert_lstm,32,768,3,12,20,32,max,adam,0.001,987,0.0361111111111111
output,bert_cnn,32,768,3,12,20,64,avg,adam,0.00001,987,0.538888888888889
output,bert_cnn,32,768,3,12,20,64,max,adam,0.00001,987,0.463888888888889
output,bert_cnn,32,768,3,12,20,32,avg,adam,0.00001,987,0.627777777777778
output,bert_cnn,32,768,3,12,20,32,max,adam,0.00001,987,0.619444444444445
output,bert_cnn,32,768,3,12,20,64,avg,adam,0.0001,987,0.641666666666667
output,bert_cnn,32,768,3,12,20,64,max,adam,0.0001,987,0.613888888888889
output,bert_cnn,32,768,3,12,20,32,avg,adam,0.0001,987,0.633333333333333
