model_name,model_type,accuracy,f1_weighted,precision,recall,train_time,predict_time_per_1000,feature_type
Naive Bayes (Multinomial),传统机器学习,0.699583333,0.703879311,0.827034876,0.699583333,0.008404016,0.01,TF-IDF
Naive Bayes (Bernoulli),传统机器学习,0.837916667,0.841835566,0.861302779,0.837916667,0.004634857,0.01,TF-IDF
Logistic Regression,传统机器学习,0.732083333,0.738187978,0.829671461,0.732083333,0.092260838,0.01,TF-IDF
SVM (Linear),传统机器学习,0.76875,0.775174391,0.837238325,0.76875,0.03173089,0.01,TF-IDF
SVM (RBF),传统机器学习,0.749166667,0.755353337,0.838463344,0.749166667,23.22871089,0.01,TF-IDF
KNN (k=5),传统机器学习,0.6225,0.632305195,0.699157102,0.6225,0.001307011,0.01,TF-IDF
Decision Tree,传统机器学习,0.585833333,0.578620598,0.773845241,0.585833333,0.117999077,0.01,TF-IDF
SGD Classifier,传统机器学习,0.7775,0.783734456,0.843495025,0.7775,0.016251326,0.01,TF-IDF
Random Forest,集成学习,0.736666667,0.743342684,0.821550651,0.736666667,7.964410067,0.02,TF-IDF
Gradient Boosting,集成学习,0.623333333,0.621364807,0.793069974,0.623333333,2.74634409,0.02,TF-IDF
AdaBoost,集成学习,0.712916667,0.719458036,0.809157364,0.712916667,1.287890911,0.02,TF-IDF
Extra Trees,集成学习,0.75,0.756613757,0.828671329,0.75,11.47617602,0.02,TF-IDF
Bagging,集成学习,0.732083333,0.73905344,0.812888612,0.732083333,12.19218302,0.02,TF-IDF
TextCNN,深度学习,0.799583333,0.805260436,0.844433592,0.799583333,45.59867907,0.1,词嵌入
BiLSTM,深度学习,0.774583333,0.780845668,0.843177419,0.774583333,240.4870031,0.1,词嵌入
Transformer,深度学习,0.333333333,0.166666667,0.111111111,0.333333333,221.3487759,0.1,词嵌入
MLP (on TF-IDF),深度学习,0.807916667,0.813186245,0.844671223,0.807916667,4.678189754,0.05,TF-IDF
