model_type,learning_rate,hidden_size,batch_size,pooling_style,avg_time_per_100 (ms),accuracy
bert,0.0001,128,64,avg,787.1050583688835,0.8886572143452878
bert,0.0001,128,64,max,1165.6566670066431,0.8919933277731443
bert,0.0001,128,128,avg,574.1696608693977,0.8836530442035029
bert,0.0001,128,128,max,536.8546435707494,0.8953294412010009
bert,1e-05,128,64,avg,542.1287135074014,0.896163469557965
bert,1e-05,128,64,max,845.8143786380166,0.9020016680567139
bert,1e-05,128,128,avg,871.0534949051706,0.9045037531276063
bert,1e-05,128,128,max,830.2763888710424,0.9007506255212677
bert_lstm,0.0001,128,64,avg,540.7659631026418,0.6663886572143453
bert_lstm,0.0001,128,64,max,571.717714008532,0.6663886572143453
bert_lstm,0.0001,128,128,avg,539.516147814299,0.6663886572143453
bert_lstm,0.0001,128,128,max,558.4202314677991,0.8828190158465388
bert_lstm,1e-05,128,64,avg,507.6339370325992,0.8803169307756463
bert_lstm,1e-05,128,64,max,500.07418582313943,0.8815679733110926
bert_lstm,1e-05,128,128,avg,542.1274586727744,0.8657214345287739
bert_lstm,1e-05,128,128,max,571.525724310624,0.8773978315262719
bert_cnn,0.0001,768,64,avg,472.5293109291478,0.6663886572143453
bert_cnn,0.0001,768,64,max,488.3577949122379,0.8006672226855713
bert_cnn,0.0001,768,128,avg,519.3911100688733,0.6663886572143453
bert_cnn,0.0001,768,128,max,536.8420952244809,0.8586321934945789
bert_cnn,1e-05,768,64,avg,471.05801732916575,0.8665554628857381
bert_cnn,1e-05,768,64,max,471.56120601453284,0.8707256046705588
bert_cnn,1e-05,768,128,avg,529.127371938605,0.8673894912427023
bert_cnn,1e-05,768,128,max,526.3177972090871,0.8694745621351125
bert_mid_layer,0.0001,128,64,avg,470.0171320061935,0.8798999165971643
bert_mid_layer,0.0001,128,64,max,513.7286688152112,0.8548790658882403
bert_mid_layer,0.0001,128,128,avg,521.1390947040759,0.8715596330275229
bert_mid_layer,0.0001,128,128,max,519.6721930252879,0.8748957464553795
bert_mid_layer,1e-05,128,64,avg,464.6633800707366,0.8761467889908257
bert_mid_layer,1e-05,128,64,max,466.0029160348992,0.8728106755629691
bert_mid_layer,1e-05,128,128,avg,497.6724323473479,0.877814845704754
bert_mid_layer,1e-05,128,128,max,499.98885706851354,0.8690575479566305
